GPU,backend,input_len,output_len,elapsed_time,num_requests,total_num_tokens,requests_per_second,tokens_per_second,total_output_tokens,total_input_tokens
mi300,vllm,3200,800,755.7529773,1024,4096000,1.354940081,5419.760323,819200,3276800
mi300,vllm,3200,800,376.5443939,512,2048000,1.359733429,5438.933717,409600,1638400
mi300,vllm,3200,800,187.5629417,256,1024000,1.36487516,5459.50064,204800,819200
mi300,vllm,3200,800,110.4265853,128,512000,1.159141158,4636.564633,102400,409600
mi300,vllm,3200,800,74.39861901,64,256000,0.860231021,3440.924084,51200,204800
mi300,vllm,3200,800,56.60333672,32,128000,0.565337697,2261.350786,25600,102400
mi300,vllm,3200,1600,106.6691427,32,153600,0.299993036,1439.966574,51200,102400
mi300,vllm,3200,1600,134.0326467,64,307200,0.477495607,2291.978914,102400,204800
mi300,vllm,3200,1600,186.3907014,128,614400,0.686729537,3296.301777,204800,409600
mi300,vllm,3200,1600,337.2495072,256,1228800,0.75908191,3643.593166,409600,819200
mi300,vllm,3200,1600,677.4777513,512,2457600,0.755744375,3627.573002,819200,1638400
mi300,vllm,3200,1600,1356.931249,1024,4915200,0.754643981,3622.29111,1638400,3276800
h200,sglang,3200,800,75.97939109,32,128000,0.421166839,1684.667357,25600,102400
h200,sglang,3200,800,93.39763713,64,256000,0.685242175,2740.9687,51200,204800
h200,sglang,3200,800,130.216062,128,512000,0.982981654,3931.926616,102400,409600
h200,sglang,3200,800,194.0358796,256,1024000,1.319343621,5277.374484,204800,819200
h200,sglang,3200,800,324.5106853,512,2048000,1.577760065,6311.04026,409600,1638400
h200,sglang,3200,800,708.2590959,1024,4096000,1.445798587,5783.194347,819200,3276800
h200,sglang,3200,1600,1051.181447,1024,4915200,0.974142003,4675.881613,1638400,3276800
h200,sglang,3200,1600,491.0436949,512,2457600,1.042677068,5004.849926,819200,1638400
h200,sglang,3200,1600,283.7662594,256,1228800,0.902150948,4330.324552,409600,819200
h200,sglang,3200,3200,479.0931558,256,1638400,0.534342845,3419.79421,819200,819200
h200,sglang,3200,3200,988.8461533,512,3276800,0.517775185,3313.761184,1638400,1638400
h200,sglang,3200,3200,1877.895927,1024,6553600,0.545291134,3489.863259,3276800,3276800
h200,vllm,3200,800,48.66099514,32,128000,0.657610883,2630.443534,25600,102400
h200,vllm,3200,800,63.41331285,64,256000,1.009251798,4037.007191,51200,204800
h200,vllm,3200,800,136.2708716,128,512000,0.939305653,3757.222611,102400,409600
h200,vllm,3200,800,233.7544293,256,1024000,1.095166414,4380.665655,204800,819200
h200,vllm,3200,800,426.1915829,512,2048000,1.201337662,4805.35065,409600,1638400
h200,vllm,3200,800,837.3510345,1024,4096000,1.222904084,4891.616337,819200,3276800
h200,vllm,3200,1600,419.3749264,256,1228800,0.610432298,2930.07503,409600,819200
h200,vllm,3200,1600,819.8293698,512,2457600,0.624520198,2997.696948,819200,1638400
h200,vllm,3200,1600,1568.906264,1024,4915200,0.65268399,3132.88315,1638400,3276800
mi300,sglang,3200,800,70.52596503,32,128000,0.4537336,1814.9344,25600,102400
mi300,sglang,3200,800,98.56670938,64,256000,0.649306448,2597.225794,51200,204800
mi300,sglang,3200,800,153.8700992,128,512000,0.831870524,3327.482095,102400,409600
