GPU,backend,dataset_name,request_rate,max_concurrency,sharegpt_output_len,random_input_len,random_output_len,random_range_ratio,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,request_throughput,input_throughput,output_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,std_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,concurrency,,
mi300x,vllm,random,,128,,3200,800,1,437.2835269,500,1600000,400000,396748,1.143422903,3658.953291,914.7383228,109394.1371,110472.4457,2103.094734,111155.1599,22245.64614,23286.29814,10793.45813,39739.73556,109.0719536,108.6403598,13.53994316,134.6084903,109.7865347,88.58554391,683.3593151,119.4385635,125.0837618,,
mi300x,vllm,random,,64,,3200,800,1,595.3813199,500,1600000,400000,398316,0.83979793,2687.353376,671.838344,74530.08788,75185.57073,1686.04563,75579.15154,12233.66578,11650.44474,5226.086613,19702.66513,77.96798761,76.69277963,6.647522031,91.22799752,78.26762927,69.11818904,308.4400189,72.22738157,62.59021352,,
mi300x,vllm,random,,32,,3200,800,1,903.7985372,500,1600000,400000,398308,0.553220634,1770.30603,442.5765074,56595.63629,56877.98635,1036.414714,57269.7954,7110.186408,7672.771038,2328.175592,9879.447837,61.93423014,60.82328767,2.969431712,67.95493963,62.16148228,58.6588555,122.6754283,60.81252833,31.3098738,,
mi300x,vllm,random,,16,,3200,800,1,1549.519845,500,1600000,400000,398344,0.322680604,1032.577934,258.1444835,48662.5076,48724.01799,937.0141348,49206.28673,4261.061847,4889.771666,832.1491309,5439.922793,55.57127128,54.91463675,1.290391685,57.31533146,55.78319673,54.82160248,36.43800732,56.57830641,15.70244736,,
mi300x,vllm,random,,8,,3200,800,1,2699.155949,500,1600000,400000,398379,0.185243094,592.7779018,148.1944755,42880.23323,42912.19565,438.5462719,43490.03507,2231.22975,2535.391168,376.6918934,2574.793257,50.87484791,50.55525633,0.637345867,52.12570232,51.05874094,50.51311752,17.78663819,52.16250127,7.943267089,,
mi300x,vllm,random,,4,,3200,800,1,4772.005034,500,1600000,400000,396874,0.10477776,335.2888333,83.82220831,38175.3227,38182.89261,135.2510789,38388.69078,1259.239487,1288.601479,83.57333762,1404.273702,46.20285759,46.16849698,0.21089066,46.61918107,46.49906595,46.05986958,7.006763382,47.90929358,3.999924814,,
h200,sglang,random,,128,,3200,800,1,498.4157204,500,1600000,400000,398574,1.003178631,3210.171619,802.5429047,124723.0447,125649.7586,4363.833851,130342.8537,36230.47317,37422.92381,15197.82951,59383.93759,110.7541571,108.3526393,18.63709908,152.0213341,110.7574599,85.8872315,861.9264516,103.0340597,125.1194932,,
h200,sglang,random,,64,,3200,800,1,677.0724055,500,1600000,400000,398395,0.738473457,2363.115063,590.7787657,84751.21129,84382.34079,3646.022066,92452.4594,20637.10398,22600.89091,7713.733307,34723.10733,80.24293781,76.49795418,9.252912258,101.6191085,80.24532044,70.33289901,358.5516728,80.29154844,62.58652,,
h200,sglang,random,,32,,3200,800,1,986.3309389,500,1600000,400000,398479,0.506929247,1622.17359,405.5433975,61837.9324,61932.57317,1965.834222,64782.31357,10992.45549,12904.80412,3714.812431,15693.10289,63.63639162,61.18636742,4.782609561,75.26433141,63.6382711,59.34458649,162.779664,65.34062032,31.3474565,,
h200,sglang,random,,16,,3200,800,1,1560.950239,500,1600000,400000,398336,0.320317706,1025.01666,256.254165,49075.37173,48627.81055,2333.904369,59082.78912,7121.727302,7882.921541,2814.906718,17861.85665,52.50769014,50.90542678,2.823114709,58.61933227,52.50923453,50.513247,87.19047575,53.09658761,15.7197105,,
