Successful requests,Benchmark duration (s),Total input tokens,Total generated tokens,Request throughput (req/s),Output token throughput (tok/s),Total Token throughput (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1,4.53,80,85,0.22,18.75,36.40,314.58,314.58,314.58,50.19,50.19,50.19,49.13,49.66,94.22
2,4.66,160,127,0.43,27.28,61.65,372.80,372.80,373.27,51.59,51.59,52.21,50.38,49.87,95.48
4,5.42,320,288,0.74,53.18,112.27,397.54,397.41,398.43,54.18,54.07,54.64,53.30,54.54,106.68
8,5.65,640,484,1.42,85.64,198.89,646.20,596.84,796.26,55.48,54.98,60.39,54.28,52.68,201.80
16,6.57,1279,936,2.44,142.52,337.26,1034.69,1207.28,1413.84,63.38,60.83,79.37,61.59,58.60,203.24
32,8.49,2594,1857,3.77,218.64,524.06,1546.00,1500.61,2506.87,87.10,83.15,118.37,83.45,82.86,408.83
64,19.61,5189,3842,3.26,195.93,460.56,2698.98,2811.65,4723.29,230.16,237.99,293.12,218.27,202.67,411.57
128,27.70,10306,7588,4.62,273.89,645.88,5161.26,4910.31,10056.40,298.29,299.27,380.18,286.41,303.66,505.04
256,44.46,20829,15376,5.76,345.83,814.31,11787.27,10570.10,25591.50,389.49,402.13,499.46,373.87,403.86,808.29
512,75.58,41838,30400,6.77,402.21,955.75,27060.36,25908.71,57181.18,419.23,452.64,474.21,406.60,406.30,731.78
1024,138.24,83423,60121,7.41,434.89,1038.34,58452.87,58111.01,119186.77,435.60,450.38,475.73,425.01,406.39,688.60
2048,272.95,166647,119667,7.50,438.42,1048.96,128150.28,129063.54,253434.71,461.09,470.08,497.82,451.17,430.56,794.46
