Successful requests,Benchmark duration (s),Total input tokens,Total generated tokens,Request throughput (req/s),Output token throughput (tok/s),Total Token throughput (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
1,2.56,80,57,0.39,22.27,53.52,123.48,123.48,123.48,43.48,43.48,43.48,42.71,42.66,43.68
2,4.67,159,125,0.43,26.76,60.80,864.65,864.65,1589.18,59.22,59.22,72.42,57.08,45.22,51.38
4,3.70,319,210,1.08,56.82,143.13,244.90,285.64,285.70,53.01,52.97,55.16,51.78,51.06,67.05
8,3.91,639,404,2.05,103.41,266.97,395.44,432.47,433.75,54.17,53.71,58.47,53.03,52.51,54.65
16,4.97,1276,823,3.22,165.52,422.14,581.37,610.26,614.75,60.53,60.85,64.99,59.06,59.35,67.93
32,8.09,2590,1685,3.95,208.23,528.31,2325.73,2396.74,2398.41,76.40,75.16,137.68,72.63,73.57,83.79
64,10.03,5255,3615,6.38,360.44,884.41,2150.47,2181.28,2190.51,101.40,102.73,120.50,97.98,99.58,125.90
128,14.45,10480,7236,8.86,500.92,1226.40,3753.25,3781.18,3799.51,133.02,134.98,141.72,128.25,132.54,159.03
256,22.07,20857,14739,11.60,667.82,1612.85,6981.56,7005.91,7041.34,194.79,197.87,210.77,187.10,199.32,216.95
512,38.60,41795,29639,13.27,767.92,1850.80,14086.51,14109.33,14161.82,322.78,330.42,355.85,308.13,336.09,369.31
1024,71.75,83707,59207,14.27,825.20,1991.88,25545.29,22280.29,49871.32,625.33,643.94,796.86,590.60,521.93,5750.15
2048,138.63,166906,118221,14.77,852.79,2056.77,55778.92,52655.73,110957.99,767.29,803.02,1042.70,748.77,552.11,7360.92
