gpu,num_prompts,request_rate,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,num-scheduler-step,qps,enable-chunked-prefill,max-num-batched-tokens,max-num-seqs,max-seq-len-to-capture,enable-prefix-caching,filename
8xH100 1FP8-meta,1000,16,,100.6674141,1000,215196,120689,9.933701079,,1198.88845,3336.581187,1486.393741,403.3162765,2566.880241,9912.536468,106.5388952,112.4545221,23.15990766,153.4706692,99.48882073,113.799867,49.50954886,290.8384772,1,16,TRUE,512,512,8192,FALSE,nvidia-vllm-16.0qps-Llama-3.1-405B-FP8-20241109-150547
8xH100 1FP8-meta,1000,32,,98.09076606,1000,215196,122819,10.19463952,,1252.095431,3445.941077,9375.633242,3637.376601,11520.33509,37582.92645,110.0495344,116.7915238,21.20502989,161.2216393,101.8808344,113.9987345,57.14108335,331.369471,1,32,TRUE,512,512,8192,FALSE,nvidia-vllm-32.0qps-Llama-3.1-405B-FP8-20241109-150842
8xH100 1FP8-meta,1000,1000,,97.93427065,1000,215196,122195,10.21093018,,1247.724614,3445.075945,18688.45891,9156.044752,21571.80745,67563.17061,110.6150071,116.9408176,20.70266607,168.210065,102.3270841,114.4812475,54.86264748,333.6657995,1,1000,TRUE,512,512,8192,FALSE,nvidia-vllm-1000.0qps-Llama-3.1-405B-FP8-20241109-151112
8xMi300x 1FP8-meta,1000,16,,200.4161549,1000,215196,122250,4.989617732,,612.5953274,1686.341105,1862.327679,1544.285398,2578.327221,8997.885864,1568.677141,418.311666,4322.928832,17140.55708,386.1731475,221.0673525,2807.969383,469.0355217,15,16,FALSE,default,1024,16384,FALSE,amd-meta-vllm-16.0qps-Llama-3.1-405B-FP8-20241120-122022_RPC.json
8xMi300x 1FP8-meta,1000,32,,194.0727405,1000,215196,121792,5.152707161,,622.9519904,1731.793961,17636.52857,15444.31397,16637.69398,43800.48424,1010.61373,312.6304262,3048.955373,13876.91724,307.1181322,222.849992,1914.939579,430.5167763,15,32,FALSE,default,1024,16384,FALSE,amd-meta-vllm-32.0qps-Llama-3.1-405B-FP8-20241120-122428_RPC
8xMi300x 1FP8-meta,1000,1000,,193.98,1000,215196,121172,5.155289259,,624.6767101,1734.074337,31885.24568,49664.65999,25884.43198,60892.77751,645.7836159,283.7695197,1445.701618,6272.891325,265.0909427,222.4502625,946.8251542,433.4637455,15,1000,FALSE,default,1024,16384,FALSE,amd-meta-vllm-1000.0qps-Llama-3.1-405B-FP8-20241120-122826_RPC.json
8xMi300x 1FP8-amd,1000,16,,116.2584005,1000,215196,179055,8.601528968,,1540.146769,3391.161397,989.6920981,714.970922,905.3632477,3984.315001,250.2793385,204.2976438,220.2220363,1022.465729,179.9986686,106.194948,589.9458284,3438.05803,15,16,FALSE,default,1024,16384,FALSE,amd-amd-vllm-16.0qps-Meta-Llama-3.1-405B-Instruct-FP8-KV-20241119-151215.json
8xMi300x 1FP8-amd,1000,32,,104.6720595,1000,215196,179930,9.553647888,,1718.987865,3774.894676,4143.701087,3757.283497,3153.767855,12051.45074,728.7999068,237.1344188,1365.576977,7445.570832,220.4521918,123.0926295,1565.636833,432.8646735,15,32,FALSE,default,1024,16384,FALSE,amd-amd-vllm-32.0qps-Meta-Llama-3.1-405B-Instruct-FP8-KV-20241119-152715.json
8xMi300x 1FP8-amd,1000,1000,,105.3831563,1000,215196,180317,9.489182479,,1711.060917,3753.09503,23915.80812,27120.03163,12828.86835,38801.6391,495.4258319,207.7592277,934.5824952,4336.406838,183.5165259,127.401391,999.8004431,345.7533425,15,1000,FALSE,default,1024,16384,FALSE,amd-amd-vllm-1000.0qps-Meta-Llama-3.1-405B-Instruct-FP8-KV-20241119-152127.json
4xMi300x 1FP8-amd,1000,16,,173.592893,1000,215196,179716,5.760604496,,1035.272798,2274.931843,5610.853932,4989.169175,4369.551942,17101.4322,1350.976131,430.6855099,2576.755218,13833.8914,377.436468,199.3136285,2924.209578,518.9914362,15,16,FALSE,default,1024,16384,FALSE,
