gpu,input_len,output_len,batch_size,elapsed_time,num_requests,total_num_tokens,requests_per_second,tokens_per_second
8xH100-meta-Llama-31-405B-FP8,32784,2048,4,236.1237305,4,139328,0.016940271,590.0635218
8xH100-meta-Llama-31-405B-FP8,32784,2048,8,457.6965823,8,278656,0.017478828,608.8225492
8xH100-meta-Llama-31-405B-FP8,32784,2048,16,866.9613514,16,557312,0.018455263,642.8337308
8xH100-meta-Llama-31-405B-FP8,2048,2048,4,73.01276787,4,16384,0.054784939,224.3991082
8xH100-meta-Llama-31-405B-FP8,2048,2048,8,78.75401423,8,32768,0.101582124,416.0803779
8xH100-meta-Llama-31-405B-FP8,2048,2048,16,83.85836116,16,65536,0.190797909,781.5082372
8xH100-meta-Llama-31-405B-FP8,2048,2048,32,143.8565959,32,131072,0.222443745,911.1295814
8xH100-meta-Llama-31-405B-FP8,2048,2048,64,262.4642917,64,262144,0.243842694,998.7796751
8xH100-meta-Llama-31-405B-FP8,2048,2048,128,474.2597424,128,524288,0.269894297,1105.487042
8xH100-meta-Llama-31-405B-FP8,2048,2048,256,876.4826333,256,1048576,0.292076523,1196.345439
8xH100-meta-Llama-31-405B-FP8,128,2048,4,71.27394036,4,8704,0.056121494,122.1203704
8xH100-meta-Llama-31-405B-FP8,128,2048,8,75.05596489,8,17408,0.106587132,231.9335981
8xH100-meta-Llama-31-405B-FP8,128,2048,16,75.82455635,16,34816,0.211013434,459.1652319
8xH100-meta-Llama-31-405B-FP8,128,2048,32,78.37005056,32,69632,0.408319247,888.5026806
8xH100-meta-Llama-31-405B-FP8,128,2048,64,123.1509682,64,139264,0.519687347,1130.839668
8xH100-meta-Llama-31-405B-FP8,128,2048,128,214.67,128,278528,0.596251533,1297.443
8xH100-meta-Llama-31-405B-FP8,128,2048,256,399.64,256,557056,0.6405631,1393.8654
8xMi300x-meta-Llama-31-405B-FP8,32784,2048,4,376.392776,4,139328,0.010627196,370.1665092
8xMi300x-meta-Llama-31-405B-FP8,32784,2048,8,477.3153248,8,278656,0.016760409,583.7985615
8xMi300x-meta-Llama-31-405B-FP8,32784,2048,16,673.9836962,16,557312,0.023739447,826.8924058
8xMi300x-meta-Llama-31-405B-FP8,32784,2048,32,1186.617763,32,1114624,0.026967403,939.3285983
8xMi300x-meta-Llama-31-405B-FP8,32784,2048,64,2375.957974,64,2229248,0.026936503,938.2522858
8xMi300x-meta-Llama-31-405B-FP8,2048,2048,4,280.827359,4,16384,0.014243626,58.34189395
8xMi300x-meta-Llama-31-405B-FP8,2048,2048,8,292.9252051,8,32768,0.027310726,111.8647335
8xMi300x-meta-Llama-31-405B-FP8,2048,2048,16,299.7496895,16,65536,0.05337787,218.6357561
8xMi300x-meta-Llama-31-405B-FP8,2048,2048,32,313.2068705,32,131072,0.102168895,418.4837956
8xMi300x-meta-Llama-31-405B-FP8,2048,2048,64,353.720315,64,262144,0.180933911,741.1052995
8xMi300x-meta-Llama-31-405B-FP8,2048,2048,128,430.8951432,128,524288,0.297056029,1216.741493
8xMi300x-meta-Llama-31-405B-FP8,2048,2048,256,614.9500081,256,1048576,0.416294002,1705.140233
8xMi300x-meta-Llama-31-405B-FP8,128,2048,4,279.115799,4,8704,0.01433097,31.1841897
8xMi300x-meta-Llama-31-405B-FP8,128,2048,8,287.809995,8,17408,0.02779612,60.4843484
8xMi300x-meta-Llama-31-405B-FP8,128,2048,16,290.992608,16,34816,0.05498421,119.645651
8xMi300x-meta-Llama-31-405B-FP8,128,2048,32,293.69183,32,69632,0.10895775,237.092056
8xMi300x-meta-Llama-31-405B-FP8,128,2048,64,307.312373,64,139264,0.20825715,453.167565
8xMi300x-meta-Llama-31-405B-FP8,128,2048,128,340.863436,128,278528,0.37551696,817.124897
8xMi300x-meta-Llama-31-405B-FP8,128,2048,256,438.203916,256,557056,0.5842029,1271.22552
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,32784,2048,4,129.3197857,4,139328,0.030931075,1077.391207
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,32784,2048,8,158.0476773,8,278656,0.050617637,1763.113542
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,32784,2048,16,223.162426,16,557312,0.071696657,2497.33797
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,32784,2048,32,353.0339651,32,1114624,0.090642837,3157.271284
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,32784,2048,64,720.3670517,64,2229248,0.088843597,3094.600169
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,2048,2048,4,68.37971305,4,16384,0.058496882,239.6032283
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,2048,2048,8,70.53868689,8,32768,0.113412942,464.5394101
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,2048,2048,16,78.69783408,16,65536,0.20330928,832.7548117
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,2048,2048,32,96.35701944,32,131072,0.332098276,1360.274537
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,2048,2048,64,125.3573432,64,262144,0.510540495,2091.173866
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,2048,2048,128,186.8320667,128,524288,0.685107232,2806.199221
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,2048,2048,256,334.4946058,256,1048576,0.765333717,3134.806905
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,4,67.79069331,4,8704,0.05900515,128.3952055
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,8,68.69831185,8,17408,0.116451188,253.3977842
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,16,73.0668384,16,34816,0.218977588,476.4952304
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,32,81.6235981,32,69632,0.392043487,853.0866271
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,64,99.36810183,64,139264,0.644069866,1401.496028
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,128,131.6356226,128,278528,0.972381164,2115.901414
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,256,227.2880827,256,557056,1.126323901,2450.880809
4xMi300x 1FP8-amd,128,2048,4,94.17381532,4,8704,0.042474652,92.42484198
4xMi300x 1FP8-amd,2048,2048,4,97.15577103,4,16384,0.041170997,168.6364055
4xMi300x 1FP8-amd,32784,2048,4,158.1494814,4,139328,0.025292527,880.9892944
4xMi300x 1FP8-amd,128,2048,8,97.83940387,8,17408,0.081766647,177.9242239
4xMi300x 1FP8-amd,2048,2048,8,103.1994496,8,32768,0.077519793,317.5210734
4xMi300x 1FP8-amd,32784,2048,8,262.4562405,8,278656,0.030481272,1061.723659
4xMi300x 1FP8-amd,128,2048,16,101.5019775,16,34816,0.157632397,343.0080957
4xMi300x 1FP8-amd,2048,2048,16,114.7069595,16,65536,0.13948587,571.3341223
4xMi300x 1FP8-amd,32784,2048,16,523.8995579,16,557312,0.030540205,1063.776427
4xMi300x 1FP8-amd,128,2048,32,113.7299072,32,69632,0.281368382,612.2575997
4xMi300x 1FP8-amd,2048,2048,32,138.4119717,32,131072,0.231193874,946.9701092
4xMi300x 1FP8-amd,32784,2048,32,1048.253293,32,1114624,0.030526973,1063.315524
4xMi300x 1FP8-amd,128,2048,64,136.9388266,64,139264,0.467361972,1016.979651
4xMi300x 1FP8-amd,2048,2048,64,185.5635483,64,262144,0.344895323,1412.691245
4xMi300x 1FP8-amd,32784,2048,64,2000.700276,64,2229248,0.0319888,1114.233864
4xMi300x 1FP8-amd,128,2048,128,195.5264158,128,278528,0.654643003,1424.503174
4xMi300x 1FP8-amd,2048,2048,128,442.6162474,128,524288,0.289189565,1184.520458
4xMi300x 1FP8-amd,128,2048,256,431.6155709,256,557056,0.5931204,1290.62999
4xMi300x 1FP8-amd,2048,2048,256,790.0569983,256,1048576,0.324027254,1327.215634
