gpu,input_len,output_len,batch_size,end_to_end_latency,tokens_per_second,usd_per_hr,tokens_per_hr,cost_per1M_token
8xH100-meta-Llama-31-405B-FP8,128,2048,4,71.27394036,122.1203704,23.92,439633.3334,54.40897716
8xH100-meta-Llama-31-405B-FP8,128,2048,8,75.05596489,231.9335981,23.92,834960.9532,28.64804625
8xH100-meta-Llama-31-405B-FP8,128,2048,16,75.82455635,459.1652319,23.92,1652994.835,14.47070462
8xH100-meta-Llama-31-405B-FP8,128,2048,32,78.37005056,888.5026806,23.92,3198609.65,7.478249182
8xH100-meta-Llama-31-405B-FP8,128,2048,64,123.1509682,1130.839668,23.92,4071022.805,5.875673301
8xH100-meta-Llama-31-405B-FP8,128,2048,128,214.67,1297.443,23.92,4670794.8,5.121184086
8xH100-meta-Llama-31-405B-FP8,128,2048,256,399.64,1393.8654,23.92,5017915.44,4.766919707
8xMi300x-meta-Llama-31-405B-FP8,128,2048,4,279.115799,31.1841897,36,112263.0829,320.6753196
8xMi300x-meta-Llama-31-405B-FP8,128,2048,8,287.809995,60.4843484,36,217743.6542,165.3320283
8xMi300x-meta-Llama-31-405B-FP8,128,2048,16,290.992608,119.645651,36,430724.3436,83.58013782
8xMi300x-meta-Llama-31-405B-FP8,128,2048,32,293.69183,237.092056,36,853531.4016,42.17771008
8xMi300x-meta-Llama-31-405B-FP8,128,2048,64,307.312373,453.167565,36,1631403.234,22.06689263
8xMi300x-meta-Llama-31-405B-FP8,128,2048,128,340.863436,817.124897,36,2941649.629,12.23803122
8xMi300x-meta-Llama-31-405B-FP8,128,2048,256,438.203916,1271.22552,36,4576411.872,7.866424834
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,4,67.79069331,128.3952055,36,462222.7398,77.88452817
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,8,68.69831185,253.3977842,36,912232.0231,39.46364421
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,16,73.0668384,476.4952304,36,1715382.829,20.98656894
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,32,81.6235981,853.0866271,36,3071111.858,11.72213897
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,64,99.36810183,1401.496028,36,5045385.701,7.135232495
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,128,131.6356226,2115.901414,36,7617245.09,4.726118114
8xMi300x-amd-Llama-31-405B-Instruct-FP8-KV,128,2048,256,227.2880827,2450.880809,36,8823170.912,4.080165777
4xMi300x 1FP8-amd,128,2048,4,94.17381532,92.42484198,18,332729.4311,54.09800972
4xMi300x 1FP8-amd,128,2048,8,97.83940387,177.9242239,18,640527.206,28.10185084
4xMi300x 1FP8-amd,128,2048,16,101.5019775,343.0080957,18,1234829.145,14.57691542
4xMi300x 1FP8-amd,128,2048,32,113.7299072,612.2575997,18,2204127.359,8.166497243
4xMi300x 1FP8-amd,128,2048,64,136.9388266,1016.979651,18,3661126.744,4.91651922
4xMi300x 1FP8-amd,128,2048,128,195.5264158,1424.503174,18,5128211.426,3.509995689
4xMi300x 1FP8-amd,128,2048,256,431.6155709,1290.62999,18,4646267.964,3.874077031
8xMi300x 2FP8-amd,128,2048,4,94.17381532,184.849684,36,665458.8623,54.09800972
8xMi300x 2FP8-amd,128,2048,8,97.83940387,355.8484478,36,1281054.412,28.10185084
8xMi300x 2FP8-amd,128,2048,16,101.5019775,686.0161914,36,2469658.289,14.57691542
8xMi300x 2FP8-amd,128,2048,32,113.7299072,1224.515199,36,4408254.718,8.166497243
8xMi300x 2FP8-amd,128,2048,64,136.9388266,2033.959302,36,7322253.487,4.91651922
8xMi300x 2FP8-amd,128,2048,128,195.5264158,2849.006348,36,10256422.85,3.509995689
8xMi300x 2FP8-amd,128,2048,256,431.6155709,2581.25998,36,9292535.928,3.874077031
