prefill,decode,conc,isl,osl,date,endpoint_type,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,source_file
1,1,128,128,2048,20250915-055723,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,37.86070487699999,500,63996,348470,13.20630457421159,,9204.001909951025,10894.303245013514,335.78628439001477,255.84742699993512,215.3334114248176,839.1076522000276,10.361619411763392,10.80831780630186,2.155407227927246,13.447203586376252,9.91487795859988,10.466727499760964,2.2258632770220665,16.330784599858816,1p1d_conc128_in128_out2048_20250915_055638.json
1,1,128,2048,128,20250917-064754,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,16.28192686300008,500,1023101,24691,30.708896078892646,,1516.4667061678765,64353.071280590164,3101.977558304001,2358.822365999913,1362.0308869927173,6473.422221569576,6.966681804823365,7.014602399976866,0.8282292433446905,8.955973467697978,6.840517607250675,6.424325000352837,5.38016417468038,28.379310599666457,1p1d_conc128_in2048_out128_20250917_064724.json
1,1,128,2048,2048,20250915-055422,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,28.495238896000046,500,1023101,269296,17.546790950757263,,9450.561231750256,45354.83996877167,578.6431870519891,312.4356840000928,533.881313880565,1681.945925400255,9.79981914640337,10.579444454587513,3.5008796143343828,16.486246656022104,10.330444940226059,10.182674500128996,4.885191657029662,28.832038649829396,1p1d_conc128_in2048_out2048_20250915_055336.json
1,1,128,2048,32784,20250915-064815,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,1811.9686826220004,380,777966,13680,0.20971664888276262,,7.549799359779454,436.89827953011445,1256.9038149368391,1294.2402215003312,747.6524522340624,2679.9183679505386,10.216726772925522,10.707376750042386,3.038903444956903,16.353447764042354,9.82786163879794,9.089597000183858,7.589870018013987,33.660892350517315,1p1d_conc128_in2048_out32784_20250915_061751.json
1,1,128,32784,2048,20250915-060525,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,265.02990725499967,500,16392000,774939,1.8865795380553896,,2923.968121282211,64773.5916968901,26249.723446587992,25440.71972500001,7964.885898932854,49105.536339070146,23.49923617326993,25.997192540058645,6.205687963877944,35.11042310542267,23.250327764540543,23.40323199996419,20.22374388515033,119.14941372011525,1p1d_conc128_in32784_out2048_20250915_055953.json
1,1,32,128,2048,20250915-055952,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,80.65375001600023,500,63996,347501,6.1993397690846255,,4308.553538193353,5102.0194339180325,128.98090204000164,124.38260950011681,44.49998594457988,218.58328674993572,7.438661799008876,7.525691449995975,1.8545636510683854,8.650461520997396,6.574826818323282,6.486721999863221,3.611731284195425,9.85734500000035,1p1d_conc32_in128_out2048_20250915_055823.json
1,1,32,2048,128,20250917-064833,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,9.881358489999911,500,1023101,23705,50.60032995523923,,2398.961643177892,105937.45799824831,277.2259860460008,244.86751750009716,131.19658133995642,683.4790250298465,6.9555332554653315,7.165431452757351,1.461952130547775,9.81429233726678,6.8496215584576525,6.665516999873944,6.451437559865931,31.18771416007799,1p1d_conc32_in2048_out128_20250917_064812.json
1,1,32,2048,2048,20250915-055637,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,62.400232251000034,500,1023101,266689,8.012790689444701,,4273.846272354635,20669.634606677762,160.9724647099938,136.72237250011676,83.46863748544119,530.5525334502317,7.52680760180074,7.612450007594459,0.9022369231815798,8.966712461015506,6.6724931796505444,6.4799589999893215,2.0893922154968902,14.915230759834229,1p1d_conc32_in2048_out2048_20250915_055518.json
1,1,32,2048,32784,20250915-073923,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,1445.8664619310002,500,1023101,3364149,0.3458134019736748,,2326.7356208726724,3034.33969561801,164.56093261197748,134.16640249943157,90.88202727028902,475.6642593798094,12.276848080729081,10.112583900064982,5.9990854282533705,28.734127401166912,12.431135886659995,7.683033999455802,7.37013049195431,30.18962751957588,1p1d_conc32_in2048_out32784_20250915_071504.json
1,1,32,32784,2048,20250915-061751,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,322.5883888610001,500,16392000,768988,1.54996279241608,,2383.805575628913,53197.78576219768,1881.3242884400288,827.7350110004136,2714.935414634361,14824.02162582983,12.312659256596756,11.636601826575495,2.077743989888655,19.228603848185806,11.917890771801233,10.372770500453043,13.384780577764193,99.44650105949222,1p1d_conc32_in32784_out2048_20250915_061123.json
