num_prompts,request_rate,burstiness,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,num-scheduler-step,qps,enable-chunked-prefill,max-num-batched-tokens,max-num-seqs,max-seq-len-to-capture,enable-prefix-caching,filename
1000,16,,,258.2430993,1000,215196,117108,3.872320316,,453.4796876,1286.78753,51664.51674,16362.83523,61199.05109,177611.7093,38.210691,38.51735965,3.749157027,45.86963467,37.96394159,34.6679405,22.48663749,127.1130283,15,16,TRUE,512,512,8192,FALSE,vllm-16.0qps-Llama-3.1-405B-FP8-20241109-141025
1000,32,,,255.8754713,1000,215196,116476,3.908151082,,455.2058054,1296.224286,59996.11309,19852.34783,70537.35174,205786.3131,38.28098876,38.53127243,2.581601402,44.64061223,37.9764204,34.664182,24.9601465,125.6135922,15,32,TRUE,512,512,8192,FALSE,vllm-32.0qps-Llama-3.1-405B-FP8-20241109-141555
1000,1000,,,261.0360742,1000,215196,116983,3.830888138,,448.148787,1272.540591,68977.10477,22687.54238,81144.2907,238754.9252,38.33731815,38.43198496,2.786757363,46.98283905,37.93161648,34.661214,22.74236718,124.7820997,15,1000,TRUE,512,512,8192,FALSE,vllm-1000.0qps-Llama-3.1-405B-FP8-20241109-142215
1000,16,,,229.5967926,1000,215196,118547,4.355461541,,516.3268993,1453.604801,42013.99335,9661.325219,50616.25351,146778.8005,39.89375309,40.06097145,3.411270536,46.38522663,39.10670662,34.821962,23.10961796,124.7643218,10,16,TRUE,512,512,8192,FALSE,vllm-16.0qps-Llama-3.1-405B-FP8-20241109-143115
1000,32,,,222.3214154,1000,215196,115882,4.497992234,,521.2363361,1489.186273,48984.46439,13020.45909,58447.61918,171504.3772,39.97070426,40.05396564,3.415059208,46.27625371,39.15863425,34.802934,24.0959215,130.9883501,10,32,TRUE,512,512,8192,FALSE,vllm-32.0qps-Llama-3.1-405B-FP8-20241109-143544
1000,1000,,,227.588632,1000,215196,115963,4.393892573,,509.5289644,1455.077071,58909.00101,16158.02442,70444.74532,206752.7478,39.79395333,39.95744572,2.984316543,46.66046601,39.06271219,34.791458,22.58556291,127.1074748,10,1000,TRUE,512,512,8192,FALSE,vllm-1000.0qps-Llama-3.1-405B-FP8-20241109-144047
1000,16,,,204.1562631,1000,215196,118082,4.898208779,,578.390289,1632.465225,34192.84013,7130.541963,41793.53639,120851.8928,43.14975952,41.59979179,5.857213348,62.12219038,40.80100232,35.029016,25.14931369,127.0419194,5,16,TRUE,512,512,8192,FALSE,vllm-16.0qps-Llama-3.1-405B-FP8-20241109-144953
1000,32,,,198.9186764,1000,215196,117179,5.027180042,,589.0799302,1670.908966,41465.09658,10559.88654,50138.67824,145837.8694,43.05601318,41.78170899,5.85586328,61.36531399,40.7295263,35.012535,25.77808708,126.7014628,5,32,TRUE,512,512,8192,FALSE,vllm-32.0qps-Llama-3.1-405B-FP8-20241109-145508
1000,1000,,,201.7135292,1000,215196,115557,4.957525675,,572.8767944,1639.71649,50608.19648,13960.73606,61086.63962,178622.7629,43.25848226,42.0660476,6.049219763,62.59933032,40.72486356,34.9425575,27.35746694,130.6263588,5,1000,TRUE,512,512,8192,FALSE,vllm-1000.0qps-Llama-3.1-405B-FP8-20241109-145935
1000,16,,,100.6674141,1000,215196,120689,9.933701079,,1198.88845,3336.581187,1486.393741,403.3162765,2566.880241,9912.536468,106.5388952,112.4545221,23.15990766,153.4706692,99.48882073,113.799867,49.50954886,290.8384772,1,16,TRUE,512,512,8192,FALSE,vllm-16.0qps-Llama-3.1-405B-FP8-20241109-150547
1000,32,,,98.09076606,1000,215196,122819,10.19463952,,1252.095431,3445.941077,9375.633242,3637.376601,11520.33509,37582.92645,110.0495344,116.7915238,21.20502989,161.2216393,101.8808344,113.9987345,57.14108335,331.369471,1,32,TRUE,512,512,8192,FALSE,vllm-32.0qps-Llama-3.1-405B-FP8-20241109-150842
1000,1000,,,97.93427065,1000,215196,122195,10.21093018,,1247.724614,3445.075945,18688.45891,9156.044752,21571.80745,67563.17061,110.6150071,116.9408176,20.70266607,168.210065,102.3270841,114.4812475,54.86264748,333.6657995,1,1000,TRUE,512,512,8192,FALSE,vllm-1000.0qps-Llama-3.1-405B-FP8-20241109-151112
